Option,Hazards,Assets,Action Type,Sub-Action Type,Source Plan,URL,Toolkit Case Study
"Hold an annual meeting to discuss the state of public health. Identify areas where health risks intersect with climate risks, and which areas may be getting worse due to environmental changes. Identify initiatives to improve public health.  ","""Shifting Species, Habitats, and Ecosystems"",Vector-Borne Disease",People,"""Health, Wellness, & Security""",Public Health,"Spearfish, SD Climate Resiliency Plan",https://www.bhsu.edu/Faculty-Staff/Campus-Services/Facilities-Services/Sustainability/_docs/climate-resiliency-plan-2020.pdf,https://toolkit.climate.gov/case-studies/spearfish-sd-climate-resiliency-plan-0
Hold events where residents can interact with local experts and develop an emergency preparedness kit to take home.,"Air Quality,High Winds,Multiple or All Hazards,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","Multiple or All Assets,People",Preparedness & Response,Emergency Management,Cleveland Climate Action Plan,https://d3n8a8pro7vhmx.cloudfront.net/sustainablecleveland/pages/149/attachments/original/1461798511/Cleveland_Climate_Action_Plan.pdf?1461798511,https://toolkit.climate.gov/case-studies/cleveland-climate-action-plan-1
Hold meetings with local businesses to understand local food supply and liquid fuel distribution conditions.,Multiple or All Hazards,"Agriculture and Food Supply,Economy",Public Education & Outreach,Community Engagement,"Planning for Climate Resilience | City of Asheville, North Carolina",https://drive.google.com/file/d/1X_Gr4eUCmkXPOzAcvyxCe-uZPkX84Byz/view,https://toolkit.climate.gov/case-studies/planning-future-floodplain
Hold water where it falls. Encourage the use of innovative on-site water capture and retention strategies. Such strategies can provide relief to overburdened stormwater systems and reduce downstream watershed impacts. ,Flooding – General,Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,"""Flood barriers, dams, and levees""",Resilient Houston,https://www.houstontx.gov/mayor/Resilient-Houston-20200402-single-page.pdf,https://toolkit.climate.gov/case-studies/resilient-houston-0
"Host drills and tabletop exercises for drought response, regionally and across departments.",Drought,Water Infrastructure – General,Preparedness & Response,Emergency Management,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Identify and implement flood protection measures for critical infrastructure. Consider the use of levees or earthen dikes.,"Flooding – Coastal,Flooding – General",Critical Facilities,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Climate Resilient San Diego,https://www.sandiego.gov/sites/default/files/crsd_final_plan_with_appendices.pdf,https://toolkit.climate.gov/case-studies/climate-resilient-san-diego-1
Identify and implement ordinance updates for areas outside of the special flood hazard area. Use detailed floodplain maps to identify areas in need of buffers.,"Flooding – Coastal,Flooding – General,Flooding – Rainfall-induced",Property,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Identify and implement strategies to fund wetland restoration.,"Multiple or All Hazards,""Shifting Species, Habitats, and Ecosystems"",Water Quality,Flooding – Coastal,Flooding – General","Water Infrastructure – Wastewater,Natural Areas and Wildlife",Funding & Finance,Funding,"Charleston, South Carolina - All Hazards Vulnerability & Risk Assessment",https://www.charleston-sc.gov/1975/All-Hazards-Vulnerability-Risk-Assessmen,https://toolkit.climate.gov/case-studies/charleston-south-carolina-all-hazards-vulnerability-risk-assessment-1
Identify and improve key transportation and evacuation routes vulnerable to current or future flooding and other weather events. ,"Flooding – Coastal,Flooding – General",Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",State of Louisiana Regional Adaptation Strategy,https://s3.amazonaws.com/lasafe/Final+Adaptation+Strategies/Regional+Adaptation+Strategy.pdf,https://toolkit.climate.gov/case-studies/state-louisiana-regional-adaptation-strategy-0
"Identify and plan for the use of municipal and county facilities (e.g., library, community buildings) as temporary shelter from storms or as cooling centers. Consider partnering with area nonprofits and faith-based organizations to help run the shelters during storms and extreme heat.","High Winds,Multiple or All Hazards,Severe Winter Weather,Wildfire,Extreme Heat,Flooding – Coastal,Flooding – General","People,Property",Capacity Building,"""Community Resources, Transformative Strategies, Resilience Hubs""",Puget Sound Regional Council Climate Change and Resilience Guidance,https://www.psrc.org/media/6869,https://toolkit.climate.gov/case-studies/puget-sound-regional-council-climate-change-and-resilience-guidance-1
Identify and prioritize at-risk communities impacted by droughts.,Drought,People,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Identify and prioritize where to replace and expand seawalls.,Flooding – Coastal,Multiple or All Assets,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
"Identify and promote programs that can help residents access air conditioning during periods of extreme heat, such as fan and AC unit distribution programs.",Extreme Heat,People,Preparedness & Response,Emergency Management,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
Identify and remedy poor drainage areas to reduce disease risk from stagnant water.,Vector-Borne Disease,"People,Water Infrastructure – Stormwater",Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Statewide Summary Report: California's Fourth Climate Change Assessment,https://resilientca.org/ ,https://toolkit.climate.gov/case-studies/statewide-summary-report-californias-fourth-climate-change-assessment-1
Identify areas at high risk of climate impacts as adaptation action areas and include them as target areas in the comprehensive plan.,Multiple or All Hazards,Property,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Identify areas with inequitable access to transportation and delivery of services. Identify partnerships and resources to expand services.,Multiple or All Hazards,Transportation and Mobility,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Puget Sound Regional Council Climate Change and Resilience Guidance,https://www.psrc.org/media/6869,https://toolkit.climate.gov/case-studies/puget-sound-regional-council-climate-change-and-resilience-guidance-1
Identify climate ambassadors (members of the community) that can work with neighborhoods to identify priority projects.,Multiple or All Hazards,People,Capacity Building,"""Adaptive Capacity of Workforce, Staffing, Training""",Cleveland Climate Action Plan,https://d3n8a8pro7vhmx.cloudfront.net/sustainablecleveland/pages/149/attachments/original/1461798511/Cleveland_Climate_Action_Plan.pdf?1461798511,https://toolkit.climate.gov/case-studies/cleveland-climate-action-plan-1
Identify community partnerships that could provide drinking water in emergencies.,"High Winds,Severe Winter Weather,Wildfire,Drought,Extreme Heat,Flooding – Coastal,Flooding – General","Water Infrastructure – Drinking Water,Water Infrastructure – General",Capacity Building,Governance Capacity Building,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
Identify current invasive and non-native pests and pathogens threatening the agriculture sector. Review the projected risk exacerbated by climate change.,"""Shifting Species, Habitats, and Ecosystems""",Agriculture and Food Supply,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""",Southeast Florida Compact Regional Climate Action Plan - Energy and Fuel,http://www.southeastfloridaclimatecompact.org/recommendation-category/ef/,https://toolkit.climate.gov/case-studies/southeast-florida-compact-regional-climate-action-plan-energy-and-fuel-0
"Identify existing underperforming infrastructure and implement adaptable infrastructure strategies that facilitate targeted investments, allow managed performance, and achieve greater flexibility in system operations.",Drought,Water Infrastructure – General,Capacity Building,"""Data Collection, Analysis, Research, Assess Vulnerability & Risk""","West Palm Beach, FL - Rethink Paradise: Sustainability Action Plan",https://www.wpb.org/home/showpublisheddocument/7079/638446312959930000,https://toolkit.climate.gov/case-studies/west-palm-beach-fl-rethink-paradise-sustainability-action-plan-1
Identify funding for and routinely clean and repair stormwater drains. ,"Flooding – Coastal,Flooding – General",Water Infrastructure – Stormwater,Capital Improvements - Green & Gray Infrastructure,Stormwater Infrastructure,HUD Community Resilience Toolkit,https://www.hudexchange.info/resource/5981/community-resilience-toolkit/,https://toolkit.climate.gov/case-studies/hud-community-resilience-toolkit-0
"Identify funding for increased operation and maintenance costs for bridges. As temperatures increase and flooding and erosion becomes more frequent, maintenance costs will increase.","Erosion and Shoreline Recession,Extreme Heat,Flooding – Coastal,Flooding – General",Transportation and Mobility,Capital Improvements - Green & Gray Infrastructure,Enhance Bridges & structures,"City of Seattle, WA: Preparing for a Changing Climate",https://www.seattle.gov/Documents/Departments/Environment/ClimateChange/SEAClimatePreparedness_August2017.pdf,https://toolkit.climate.gov/case-studies/city-seattle-wa-preparing-changing-climate-1
Identify funding tools outside of FEMA programs to buy out flood-prone properties.,"Flooding – Coastal,Flooding – General","Multiple or All Assets,Property","""Managed Retreat, Relocation, & Buyout""",Buyouts,"Triangle Region, NC Regional Resilience Assessment",https://www.tjcog.org/focus-areas-environment-resilience-climate-and-energy/triangle-regional-resilience-partnership,https://toolkit.climate.gov/case-studies/triangle-region-nc-regional-resilience-assessment-0
